Process,Created time,Last edited time,Related Actors,Related Data Objects,Trigger,Type
Asset Management (Onboarding),"December 19, 2025 5:48 PM","September 23, 2026 7:38 AM","Warehouse Manager (https://app.notion.com/p/Warehouse-Manager-2ce87c56a828802a825ef3fc0ed3604e?pvs=21), Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21), System (Digital Twin Engine) (https://app.notion.com/p/System-Digital-Twin-Engine-2d187c56a82880b19385d35b9d041ba5?pvs=21)","Product Master (https://app.notion.com/p/Product-Master-2d987c56a828808d85efd3ba16c6a014?pvs=21), Asset Record (https://app.notion.com/p/Asset-Record-2d987c56a82880878729e2b0596443e6?pvs=21), Functional Location (https://app.notion.com/p/Functional-Location-2d987c56a8288057b992c22542497d83?pvs=21), Technical Manual (https://app.notion.com/p/Technical-Manual-2d987c56a8288056a487cbfa03b397fb?pvs=21)",Physical / Logistic Event,Support / Management
Inventory Management (MRO),"December 19, 2025 5:48 PM","September 23, 2026 7:38 AM","Warehouse Manager (https://app.notion.com/p/Warehouse-Manager-2ce87c56a828802a825ef3fc0ed3604e?pvs=21), System (Digital Twin Engine) (https://app.notion.com/p/System-Digital-Twin-Engine-2d187c56a82880b19385d35b9d041ba5?pvs=21), Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21)","Spare Part Request (https://app.notion.com/p/Spare-Part-Request-2ce87c56a82880e4ac01ceab11ab24a5?pvs=21), Inventory Record (https://app.notion.com/p/Inventory-Record-2d987c56a828805bb9d0c15e7b2ef47c?pvs=21), Work Order (WO) (https://app.notion.com/p/Work-Order-WO-2ce87c56a828807eab39eb2d57c7a091?pvs=21), Kardex / Movement History (https://app.notion.com/p/Kardex-Movement-History-2e287c56a82880bba161c3324a53e66b?pvs=21), Purchase Request (https://app.notion.com/p/Purchase-Request-2e287c56a828809cb145f6593928f812?pvs=21)","Physical / Logistic Event, User Request",Support / Management
Digital Twin Visualization,"December 19, 2025 5:48 PM","September 23, 2026 7:50 AM","Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21), Maintenance Supervisor (https://app.notion.com/p/Maintenance-Supervisor-2ce87c56a82880338b89c23822132112?pvs=21), Plant Manager (https://app.notion.com/p/Plant-Manager-2ce87c56a828807cbd23c25007e9feb3?pvs=21), Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21), HSEQ Inspector (https://app.notion.com/p/HSEQ-Inspector-2ce87c56a82880a98b07ef55b4b0fa84?pvs=21), Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21), Warehouse Manager (https://app.notion.com/p/Warehouse-Manager-2ce87c56a828802a825ef3fc0ed3604e?pvs=21), Contractor (https://app.notion.com/p/Contractor-2ce87c56a8288017b0a6ecf701ac8f1d?pvs=21), Reliability Engineer (https://app.notion.com/p/Reliability-Engineer-2ce87c56a8288027b527ea5bf3e149e3?pvs=21), System Administrator (https://app.notion.com/p/System-Administrator-2ce87c56a82880eca8d2fd954ce7443f?pvs=21), Plant Operator (https://app.notion.com/p/Plant-Operator-2dc87c56a8288174986cc07059919a5e?pvs=21), Scheduler (https://app.notion.com/p/Scheduler-2dc87c56a828816f9c8bc41dcae20a29?pvs=21)","3D/CAD Model (https://app.notion.com/p/3D-CAD-Model-2ce87c56a828803d8795d58b741e682a?pvs=21), Health Dashboard (https://app.notion.com/p/Health-Dashboard-2ce87c56a8288072b426c2a6f60654e3?pvs=21), Functional Location (https://app.notion.com/p/Functional-Location-2d987c56a8288057b992c22542497d83?pvs=21)",User Request,Support / Management
Reports & KPIs Generation,"December 19, 2025 5:48 PM","September 23, 2026 7:53 AM","Plant Manager (https://app.notion.com/p/Plant-Manager-2ce87c56a828807cbd23c25007e9feb3?pvs=21), Maintenance Supervisor (https://app.notion.com/p/Maintenance-Supervisor-2ce87c56a82880338b89c23822132112?pvs=21)","Asset History (https://app.notion.com/p/Asset-History-2ce87c56a8288088b22ee67540cc8e36?pvs=21), KPIs Report (https://app.notion.com/p/KPIs-Report-2ce87c56a828808b8a7edd0ea5a56372?pvs=21)","Time-based, User Request",Support / Management
Preventive Maintenance Cycle,"December 19, 2025 5:54 PM","September 23, 2026 8:02 AM","Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21), Scheduler (https://app.notion.com/p/Scheduler-2dc87c56a828816f9c8bc41dcae20a29?pvs=21), System (Digital Twin Engine) (https://app.notion.com/p/System-Digital-Twin-Engine-2d187c56a82880b19385d35b9d041ba5?pvs=21)","Maintenance Plan (https://app.notion.com/p/Maintenance-Plan-2ce87c56a82880bea059d8dd3bb5d083?pvs=21), Inventory Record (https://app.notion.com/p/Inventory-Record-2d987c56a828805bb9d0c15e7b2ef47c?pvs=21), Work Order (WO) (https://app.notion.com/p/Work-Order-WO-2ce87c56a828807eab39eb2d57c7a091?pvs=21), Closing Report (https://app.notion.com/p/Closing-Report-2ce87c56a828800684e9cd8a444bb78b?pvs=21)",Time-based,Operational
Corrective Maintenance Cycle,"December 19, 2025 5:54 PM","September 23, 2026 8:07 AM","Plant Operator (https://app.notion.com/p/Plant-Operator-2dc87c56a8288174986cc07059919a5e?pvs=21), Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21), Scheduler (https://app.notion.com/p/Scheduler-2dc87c56a828816f9c8bc41dcae20a29?pvs=21), Maintenance Technician (https://app.notion.com/p/Maintenance-Technician-2ce87c56a828804db57fd6c417865e7d?pvs=21), System (Digital Twin Engine) (https://app.notion.com/p/System-Digital-Twin-Engine-2d187c56a82880b19385d35b9d041ba5?pvs=21)","Inspection Data (https://app.notion.com/p/Inspection-Data-2ce87c56a82880338b6ac520b1de513d?pvs=21), Work Order (WO) (https://app.notion.com/p/Work-Order-WO-2ce87c56a828807eab39eb2d57c7a091?pvs=21), Closing Report (https://app.notion.com/p/Closing-Report-2ce87c56a828800684e9cd8a444bb78b?pvs=21), Work Permit (PTW) (https://app.notion.com/p/Work-Permit-PTW-2ce87c56a8288061a2cdd867d45906ee?pvs=21)",Event / Failure,Operational
Predictive Maintenance Cycle,"December 19, 2025 5:54 PM","September 23, 2026 8:19 AM","System (Digital Twin Engine) (https://app.notion.com/p/System-Digital-Twin-Engine-2d187c56a82880b19385d35b9d041ba5?pvs=21), Reliability Engineer (https://app.notion.com/p/Reliability-Engineer-2ce87c56a8288027b527ea5bf3e149e3?pvs=21), Maintenance Planner (https://app.notion.com/p/Maintenance-Planner-2ce87c56a82880dcb135f28a9bb48020?pvs=21)","Sensor Data (https://app.notion.com/p/Sensor-Data-2ce87c56a828805ea38bdd308bf20768?pvs=21), Alerts (https://app.notion.com/p/Alerts-2ce87c56a82880c4a425fc612d40d66d?pvs=21), AI Model (Version) (https://app.notion.com/p/AI-Model-Version-2e287c56a82880f1ba9fe2e8e8d1072d?pvs=21), Work Order (WO) (https://app.notion.com/p/Work-Order-WO-2ce87c56a828807eab39eb2d57c7a091?pvs=21)",Event / Failure,Operational
Report Processing (LLM),"December 19, 2025 5:54 PM","September 23, 2026 7:53 AM","Contractor (https://app.notion.com/p/Contractor-2ce87c56a8288017b0a6ecf701ac8f1d?pvs=21), Maintenance Supervisor (https://app.notion.com/p/Maintenance-Supervisor-2ce87c56a82880338b89c23822132112?pvs=21)","Contractor Report (https://app.notion.com/p/Contractor-Report-2ce87c56a828804e8aaddd11e2342cb6?pvs=21), Structured Document (https://app.notion.com/p/Structured-Document-2ce87c56a8288074a64df62435999435?pvs=21)",Data Reception,Integration / System
ERP/External Synchronization,"December 19, 2025 5:54 PM","September 23, 2026 7:54 AM",System Administrator (https://app.notion.com/p/System-Administrator-2ce87c56a82880eca8d2fd954ce7443f?pvs=21),"Purchase Request (https://app.notion.com/p/Purchase-Request-2e287c56a828809cb145f6593928f812?pvs=21), Inventory Record (https://app.notion.com/p/Inventory-Record-2d987c56a828805bb9d0c15e7b2ef47c?pvs=21)","Event / Failure, Time-based",Integration / System
Definition of Maintenance Strategy,"January 9, 2026 4:30 PM","September 23, 2026 7:54 AM","Project Engineer (https://app.notion.com/p/Project-Engineer-2ce87c56a82880c880b4e8f621eea3fb?pvs=21), Reliability Engineer (https://app.notion.com/p/Reliability-Engineer-2ce87c56a8288027b527ea5bf3e149e3?pvs=21)","Product Master (https://app.notion.com/p/Product-Master-2d987c56a828808d85efd3ba16c6a014?pvs=21), Maintenance Plan (https://app.notion.com/p/Maintenance-Plan-2ce87c56a82880bea059d8dd3bb5d083?pvs=21)",User Request,Support / Management
